REF_AREA_LABEL,TIME_PERIOD,OBS_VALUE
Benin,2012,6.627777777777777
Benin,2018,4.449999999999999
Burkina Faso,2010,10.850000000000001
Burundi,2010,18.022222222222222
Burundi,2017,17.5
Cameroon,2018,3.75
Chad,2015,12.483333333333333
Comoros,2012,19.36111111111111
"Congo, Dem. Rep.",2014,11.816666666666666
"Congo, Rep.",2012,5.061111111111111
Cote d'Ivoire,2012,8.805555555555555
"Egypt, Arab Rep.",2014,0.6222222222222222
Ethiopia,2011,17.294444444444444
Ethiopia,2016,14.022222222222222
Gabon,2012,6.794444444444444
Gabon,2021,1.9333333333333331
"Gambia, The",2013,6.816666666666666
"Gambia, The",2020,2.8111111111111113
Ghana,2014,7.161111111111111
Guinea,2012,9.405555555555557
Guinea,2018,9.177777777777777
Kenya,2014,13.405555555555557
Kenya,2022,8.516666666666667
Lesotho,2014,9.077777777777778
Liberia,2020,4.855555555555556
Madagascar,2021,14.22777777777778
Malawi,2016,19.572222222222223
Mali,2013,13.36111111111111
Mali,2018,10.716666666666667
Mauritania,2021,2.0
Mozambique,2011,17.88888888888889
Mozambique,2015,17.633333333333333
Namibia,2013,7.305555555555555
Niger,2012,12.155555555555557
Nigeria,2013,4.788888888888889
Nigeria,2018,3.8666666666666663
Rwanda,2010,17.977777777777778
Rwanda,2015,15.566666666666666
Rwanda,2020,10.283333333333333
Senegal,2011,3.8666666666666663
Senegal,2013,4.338888888888889
Senegal,2014,3.238888888888889
Senegal,2015,3.9000000000000004
Senegal,2016,2.6166666666666667
Senegal,2017,1.7777777777777777
Senegal,2018,1.5833333333333333
Senegal,2019,1.4166666666666667
Sierra Leone,2013,12.177777777777777
Sierra Leone,2019,11.25
Tanzania,2016,11.95
Togo,2014,3.266666666666667
Uganda,2011,13.133333333333333
Uganda,2016,10.477777777777778
Zambia,2014,11.43888888888889
Zambia,2018,9.316666666666666
Zimbabwe,2011,12.705555555555556
Zimbabwe,2015,10.716666666666667
